date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:57	70145/70145	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341e-11201%22	https://demo.dashboardpack.com/marketing-html/index.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/index.html	(from )
14:44:58	120/120	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Oct%202021%2009:18:02%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
14:44:59	3829/3829	---M--	200	added ('OK')	image/png	etag:%225fbd3448-ef5%22	https://demo.dashboardpack.com/marketing-html/img/logo.png	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/logo.png	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:01	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3431-2606e%22	https://demo.dashboardpack.com/marketing-html/css/bootstrap.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/css/bootstrap.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:01	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd355a-4033%22	https://demo.dashboardpack.com/marketing-html/vendors/themefy_icon/themify-icons.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:02	6731/6731	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35d9-1a4b%22	https://demo.dashboardpack.com/marketing-html/vendors/niceselect/css/nice-select.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:02	4744/4744	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35e1-1288%22	https://demo.dashboardpack.com/marketing-html/vendors/owl_carousel/css/owl.carousel.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:03	51756/51756	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd351c-ca2c%22	https://demo.dashboardpack.com/marketing-html/vendors/gijgo/gijgo.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:04	55966/55966	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35cb-da9e%22	https://demo.dashboardpack.com/marketing-html/vendors/font_awesome/css/all.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:05	2234/2234	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3550-8ba%22	https://demo.dashboardpack.com/marketing-html/vendors/tagsinput/tagsinput.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:06	47366/47366	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd350f-b906%22	https://demo.dashboardpack.com/marketing-html/vendors/datepicker/date-picker.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/datepicker/date-picker.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:07	24254/24254	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3545-5ebe%22	https://demo.dashboardpack.com/marketing-html/vendors/scroll/scrollable.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/scroll/scrollable.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:08	14377/14377	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35b9-3829%22	https://demo.dashboardpack.com/marketing-html/vendors/datatable/css/jquery.dataTables.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/datatable/css/jquery.dataTables.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:09	4665/4665	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35ba-1239%22	https://demo.dashboardpack.com/marketing-html/vendors/datatable/css/responsive.dataTables.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/datatable/css/responsive.dataTables.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:10	10926/10926	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd35b9-2aae%22	https://demo.dashboardpack.com/marketing-html/vendors/datatable/css/buttons.dataTables.min.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/datatable/css/buttons.dataTables.min.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:11	32826/32826	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3555-803a%22	https://demo.dashboardpack.com/marketing-html/vendors/text_editor/summernote-bs4.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/text_editor/summernote-bs4.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:12	433/433	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3535-1b1%22	https://demo.dashboardpack.com/marketing-html/vendors/morris/morris.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vendors/morris/morris.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
